dataset,encoding,dim_reduction,model,accuracy
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,GradientBoostingClassifier,0.5565
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.58425
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.58525
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.58775
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.5765
journal_jcr_cls,lm__whaleloops/phrase-bert,PCA_30,TabPFNClassifier,0.58375
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.545
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.559
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.55375
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.53975
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,LogisticRegression,0.557
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.543
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.54075
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.5395
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.529
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,GradientBoostingClassifier,0.531
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.56075
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.551
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.545
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.54625
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_10,TabPFNClassifier,0.54775
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.577
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.58625
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.58225
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.58
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,LogisticRegression,0.58025
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.556
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.55925
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.57725
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.56825
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,GradientBoostingClassifier,0.5625
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.59625
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.59525
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.5925
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.57825
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_30,TabPFNClassifier,0.5845
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.46375
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.5505
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.545
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.5225
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,LogisticRegression,0.53025
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.5085
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.457
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.50675
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.504
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,GradientBoostingClassifier,0.50775
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.54675
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.548
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.5455
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.548
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_10,TabPFNClassifier,0.5115
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.53725
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.45125
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.47325
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.48025
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,LogisticRegression,0.48675
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.4975
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.52325
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.52475
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.4905
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,GradientBoostingClassifier,0.5355
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.54725
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.546
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.55175
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.548
journal_jcr_cls,lm__whaleloops/phrase-bert,subset_biggest_30,TabPFNClassifier,0.5525
journal_jcr_cls,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.5995
journal_jcr_cls,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.59975
journal_jcr_cls,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.586
journal_jcr_cls,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.6045
journal_jcr_cls,lm__whaleloops/phrase-bert,passthrough,LogisticRegression,0.6035
movies,skrub__minhash_10,passthrough,LogisticRegression,0.505
movies,skrub__minhash_10,passthrough,LogisticRegression,0.4995
movies,skrub__minhash_10,passthrough,LogisticRegression,0.5085
movies,skrub__minhash_10,passthrough,LogisticRegression,0.51175
movies,skrub__minhash_10,passthrough,LogisticRegression,0.4965
movies,skrub__minhash_30,passthrough,LogisticRegression,0.5085
movies,skrub__minhash_30,passthrough,LogisticRegression,0.51275
movies,skrub__minhash_30,passthrough,LogisticRegression,0.52
movies,skrub__minhash_30,passthrough,LogisticRegression,0.504
movies,skrub__minhash_30,passthrough,LogisticRegression,0.517
movies,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.5495
movies,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.5455
movies,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.545
movies,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.5405
movies,lm__all-MiniLM-L12-v2,PCA_10,LogisticRegression,0.54025
movies,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.5305
movies,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.5275
movies,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.536
movies,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.5445
movies,lm__all-MiniLM-L12-v2,PCA_10,GradientBoostingClassifier,0.533
movies,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.54025
movies,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.5305
movies,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.53
movies,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.561
movies,lm__all-MiniLM-L12-v2,PCA_10,TabPFNClassifier,0.5545
movies,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.54525
movies,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.537
movies,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.5415
movies,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.54175
movies,lm__all-MiniLM-L12-v2,PCA_30,LogisticRegression,0.54825
movies,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.5315
movies,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.53425
movies,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.53575
movies,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.53275
movies,lm__all-MiniLM-L12-v2,PCA_30,GradientBoostingClassifier,0.533
movies,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.54925
movies,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.5385
movies,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.5535
movies,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.53775
movies,lm__all-MiniLM-L12-v2,PCA_30,TabPFNClassifier,0.51975
movies,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.5055
movies,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.5065
movies,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.5005
movies,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.52375
movies,lm__all-MiniLM-L12-v2,subset_10,LogisticRegression,0.52125
movies,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.52175
movies,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.51475
movies,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.51725
movies,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.5135
movies,lm__all-MiniLM-L12-v2,subset_10,GradientBoostingClassifier,0.5025
movies,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.49275
movies,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.4995
movies,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.49875
movies,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.49925
movies,lm__all-MiniLM-L12-v2,subset_10,TabPFNClassifier,0.5005
movies,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.518
movies,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.51625
movies,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.52425
movies,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.518
movies,lm__all-MiniLM-L12-v2,subset_30,LogisticRegression,0.52125
movies,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.513
movies,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.5165
movies,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.51275
movies,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.5165
movies,lm__all-MiniLM-L12-v2,subset_30,GradientBoostingClassifier,0.51
movies,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.501
movies,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.52125
movies,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.50275
movies,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.49925
movies,lm__all-MiniLM-L12-v2,subset_30,TabPFNClassifier,0.49875
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.49875
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.521
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.51875
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.50475
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,LogisticRegression,0.494
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.504
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.51975
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.5245
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.5125
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,GradientBoostingClassifier,0.503
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.495
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.49925
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.505
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.498
movies,lm__all-MiniLM-L12-v2,subset_biggest_10,TabPFNClassifier,0.49775
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.49825
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.497
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.49425
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.488
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,LogisticRegression,0.50475
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.49875
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.504
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.49725
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.48525
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,GradientBoostingClassifier,0.48975
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.529
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.4885
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.50325
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.49825
movies,lm__all-MiniLM-L12-v2,subset_biggest_30,TabPFNClassifier,0.491
movies,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.5635
movies,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.54075
movies,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.5635
movies,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.56575
movies,lm__all-MiniLM-L12-v2,passthrough,LogisticRegression,0.5635
movies,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.535
movies,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.537
movies,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.51525
movies,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.5285
movies,lm__whaleloops/phrase-bert,PCA_10,LogisticRegression,0.5415
movies,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.515
movies,lm__whaleloops/phrase-bert,PCA_10,GradientBoostingClassifier,0.52
